"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","CUSTOMER REFERENCE","BACKORDER","UNIT PRICE","EXTENDED PRICE"
"1","4","296-30238-1-ND","INA826AIDR","IC INST AMP 1 CIRCUIT 8SOIC","","0","3.94000","$15.76"
"2","2","296-29454-1-ND","OPA2188AIDR","IC OPAMP ZERO-DRIFT 2 CIRC 8SOIC","","0","3.61000","$7.22"
"3","1","296-32213-1-ND","REF3012AIDBZR","IC VREF SERIES 0.2% SOT23-3","","0","1.14000","$1.14"
"4","1","296-27769-1-ND","TPS7A4901DGNT","IC REG LINEAR POS ADJ 8-HVSSOP","","0","4.17000","$4.17"
"5","3","296-35965-1-ND","TPD4E1U06DBVR","TVS DIODE 5.5VWM 15VC SOT23-6","","0","0.94000","$2.82"
"6","2","SMF12CT1GOSCT-ND","SMF12CT1G","TVS DIODE 12VWM 23VC SC88","","0","0.62000","$1.24"
"7","4","F4159CT-ND","1812L050/30PR","PTC RESET FUSE 30V 500MA 1812","","0","1.24000","$4.96"
"8","3","YAG1854CT-ND","RT0805BRD072K49L","RES SMD 2.49K OHM 0.1% 1/8W 0805","","0","0.10000","$0.30"
"9","5","YAG1820CT-ND","RT0805BRD071KL","RES SMD 1K OHM 0.1% 1/8W 0805","","0","0.10000","$0.50"
"10","12","YAG1913CT-ND","RT0805BRD0749R9L","RES SMD 49.9 OHM 0.1% 1/8W 0805","","0","0.08000","$0.96"
"11","6","YAG4854CT-ND","RT0805BRD07200RL","RES SMD 200 OHM 0.1% 1/8W 0805","","0","0.10000","$0.60"
"12","8","YAG1763CT-ND","RT0805BRD0710KL","RES SMD 10K OHM 0.1% 1/8W 0805","","0","0.10000","$0.80"
"13","3","YAG1967CT-ND","RT0805BRD0773K2L","RES SMD 73.2K OHM 0.1% 1/8W 0805","","0","0.10000","$0.30"
"14","15","478-KAM21BR71H104KTCT-ND","08055C104K4T2A","CAP CER 0.1UF 50V X7R 0805","","0","0.08000","$1.20"
"15","8","478-KAM21BR71H103KTCT-ND","08055C103K4T2A","CAP CER 10000PF 50V X7R 0805","","0","0.16000","$1.28"
"16","6","478-KGM21NR71H333KTCT-ND","KGM21NR71H333KT","CAP CER 0.033UF 50V X7R 0805","","0","0.14000","$0.84"
"17","6","445-14539-1-ND","C2012X7R1H105K085AC","CAP CER 1UF 50V X7R 0805","","0","0.25000","$1.50"
"18","5","490-16824-1-ND","GRM21BR61E106KA73K","CAP CER 10UF 25V X5R 0805","","0","0.16000","$0.80"
"19","1","1849-1109-ND","AST0250404","TERM BLK 4POS SIDE ENTRY 5MM PCB","","0","3.69000","$3.69"
"20","1","1849-1110-ND","AST0250304","TERM BLK 3POS SIDE ENTRY 5MM PCB","","0","3.03000","$3.03"
"21","2","3296W-102LF-ND","3296W-1-102LF","TRIMMER 1K OHM 0.5W PC PIN TOP","","0","2.44000","$4.88"
"22","5","A103159CT-ND","CPF0805B160RE1","RES SMD 160 OHM 0.1% 1/10W 0805","","0","0.30000","$1.50"
"23","5","A103261CT-ND","CPF0805B180RE1","RES SMD 180 OHM 0.1% 1/10W 0805","","0","0.30000","$1.50"
"24","5","A103173CT-ND","CPF0805B200RE1","RES SMD 200 OHM 0.1% 1/10W 0805","","0","0.30000","$1.50"
"25","2","5923-2250066-1-ND","2250066-1","CONN MOD JACK 8P8C R/A SHLD","","0","5.14000","$10.28"

