TempC,VPT100_V,VREF40_V,VDIFF_INA_V,VRAW_PT100_V,VOUT_PT100_LOCAL_V,VOUT_PT100_BBOX_V,log
40,0.1154,0.1154,0.0,-4.5,-4.4955,-4.49548,C:\Users\kenne\Documents\Proyecto_PCB_PT100_SM50\PCB_PT100_SM50\outputs\sim_kicad_ngspice_pt100_T40_ng_20260625.log
50,0.11925,0.1154,0.00385,-3.51401,-3.5105,-3.51048,C:\Users\kenne\Documents\Proyecto_PCB_PT100_SM50\PCB_PT100_SM50\outputs\sim_kicad_ngspice_pt100_T50_ng_20260625.log
60,0.1231,0.1154,0.0077,-2.52801,-2.52549,-2.52548,C:\Users\kenne\Documents\Proyecto_PCB_PT100_SM50\PCB_PT100_SM50\outputs\sim_kicad_ngspice_pt100_T60_ng_20260625.log
70,0.12695,0.1154,0.01155,-1.54202,-1.54048,-1.54047,C:\Users\kenne\Documents\Proyecto_PCB_PT100_SM50\PCB_PT100_SM50\outputs\sim_kicad_ngspice_pt100_T70_ng_20260625.log
80,0.1308,0.1154,0.0154,-0.556029,-0.555473,-0.55547,C:\Users\kenne\Documents\Proyecto_PCB_PT100_SM50\PCB_PT100_SM50\outputs\sim_kicad_ngspice_pt100_T80_ng_20260625.log
90,0.13465,0.1154,0.01925,0.4299643,0.4295348,0.4295326,C:\Users\kenne\Documents\Proyecto_PCB_PT100_SM50\PCB_PT100_SM50\outputs\sim_kicad_ngspice_pt100_T90_ng_20260625.log
100,0.1385,0.1154,0.0231,1.415957,1.414543,1.414536,C:\Users\kenne\Documents\Proyecto_PCB_PT100_SM50\PCB_PT100_SM50\outputs\sim_kicad_ngspice_pt100_T100_ng_20260625.log
110,0.14235,0.1154,0.02695,2.40195,2.39955,2.399538,C:\Users\kenne\Documents\Proyecto_PCB_PT100_SM50\PCB_PT100_SM50\outputs\sim_kicad_ngspice_pt100_T110_ng_20260625.log
120,0.1462,0.1154,0.0308,3.387943,3.384558,3.384541,C:\Users\kenne\Documents\Proyecto_PCB_PT100_SM50\PCB_PT100_SM50\outputs\sim_kicad_ngspice_pt100_T120_ng_20260625.log
130,0.15005,0.1154,0.03465,4.373936,4.369566,4.369544,C:\Users\kenne\Documents\Proyecto_PCB_PT100_SM50\PCB_PT100_SM50\outputs\sim_kicad_ngspice_pt100_T130_ng_20260625.log
